# --- Use emacs in sh mode -*-sh-*- #
# This is a automatically generated file by fastNLO and holds the values of the warmup run. 
# The values are valid for the scenario zpt
# and if calculated with the steerfile: /var/lib/condor/execute/dir_15285/15292/MCgrid_CMS_2015_Zee/phasespace/zpt.txt
# but only if no serious changes have been performed since its creation.
# 
# Delete this file, if you want fastNLO to calculate a new one.
# 
# This file has been calculated using 6.9e+08 contributions.
#   ( Mind: contributions != events. And contributions are not necessarily in phase space region.
# Please check by eye for reasonability of the values.
 
Warmup.OrderInAlphasOfWarmupRunWas	1
Warmup.CheckScaleLimitsAgainstBins	true
Warmup.ScaleDescriptionScale1     	"Description_[GeV]"
Warmup.DifferentialDimension      	1
Warmup.DimensionLabels {
  "Description_[GeV]"  
} 
Warmup.DimensionIsDifferential {
  "2"  
} 

Warmup.Values {{
   ObsBin       x_min      x_max  Description_[GeV]_min  Description_[GeV]_max
     188       218.000       219.000       1.00000    
     189       219.000       220.000       1.00000    
     190       220.000       221.000       1.00000    
     191       221.000       222.000       1.00000    
     192       222.000       223.000       1.00000    
     193       223.000       224.000       1.00000    
     194       224.000       225.000       1.00000    
     195       225.000       226.000       1.00000    
     196       226.000       227.000       1.00000    
     197       227.000       228.000       1.00000    
     198       228.000       229.000       1.00000    
     199       229.000       230.000       1.00000    
     200       230.000       231.000       1.00000    
     201       231.000       232.000       1.00000    
     202       232.000       233.000       1.00000    
     203       233.000       234.000       1.00000    
     204       234.000       235.000       1.00000    
     205       235.000       236.000       1.00000    
     206       236.000       237.000       1.00000    
     207       237.000       238.000       1.00000    
     208       238.000       239.000       1.00000    
     209       239.000       240.000       1.00000    
     210       240.000       241.000       1.00000    
     211       241.000       242.000       1.00000    
     212       242.000       243.000       1.00000    
     213       243.000       244.000       1.00000    
     214       244.000       245.000       1.00000    
     215       245.000       246.000       1.00000    
     216       246.000       247.000       1.00000    
     217       247.000       248.000       1.00000    
     218       248.000       249.000       1.00000    
     219       249.000       250.000       1.00000    
     220       250.000       251.000       1.00000    
     221       251.000       252.000       1.00000    
     222       252.000       253.000       1.00000    
     223       253.000       254.000       1.00000    
     224       254.000       255.000       1.00000    
     225       255.000       256.000       1.00000    
     226       256.000       257.000       1.00000    
     227       257.000       258.000       1.00000    
     228       258.000       259.000       1.00000    
     229       259.000       260.000       1.00000    
     230       260.000       261.000       1.00000    
     231       261.000       262.000       1.00000    
     232       262.000       263.000       1.00000    
     233       263.000       264.000       1.00000    
     234       264.000       265.000       1.00000    
     235       265.000       266.000       1.00000    
     236       266.000       267.000       1.00000    
     237       267.000       268.000       1.00000    
     238       268.000       269.000       1.00000    
     239       269.000       270.000       1.00000    
     240       270.000       271.000       1.00000    
     241       271.000       272.000       1.00000    
     242       272.000       273.000       1.00000    
     243       273.000       274.000       1.00000    
     244       274.000       275.000       1.00000    
     245       275.000       276.000       1.00000    
     246       276.000       277.000       1.00000    
     247       277.000       278.000       1.00000    
     248       278.000       279.000       1.00000    
     249       279.000       280.000       1.00000    
     250       280.000       281.000       1.00000    
     251       281.000       282.000       1.00000    
     252       282.000       283.000       1.00000    
     253       283.000       284.000       1.00000    
     254       284.000       285.000       1.00000    
     255       285.000       286.000       1.00000    
     256       286.000       287.000       1.00000    
     257       287.000       288.000       1.00000    
     258       288.000       289.000       1.00000    
     259       289.000       290.000       1.00000    
     260       290.000       291.000       1.00000    
     261       291.000       292.000       1.00000    
     262       292.000       293.000       1.00000    
     263       293.000       294.000       1.00000    
     264       294.000       295.000       1.00000    
     265       295.000       296.000       1.00000    
     266       296.000       297.000       1.00000    
     267       297.000       298.000       1.00000    
     268       298.000       299.000       1.00000    
     269       299.000       300.000       1.00000    
     270       300.000       301.000       1.00000    
     271       301.000       302.000       1.00000    
     272       302.000       303.000       1.00000    
     273       303.000       304.000       1.00000    
     274       304.000       305.000       1.00000    
     275       305.000       306.000       1.00000    
     276       306.000       307.000       1.00000    
     277       307.000       308.000       1.00000    
     278       308.000       309.000       1.00000    
     279       309.000       310.000       1.00000    
     280       310.000       311.000       1.00000    
     281       311.000       312.000       1.00000    
     282       312.000       313.000       1.00000    
     283       313.000       314.000       1.00000    
     284       314.000       315.000       1.00000    
     285       315.000       316.000       1.00000    
     286       316.000       317.000       1.00000    
     287       317.000       318.000       1.00000    
     288       318.000       319.000       1.00000    
     289       319.000       320.000       1.00000    
     290       320.000       321.000       1.00000    
     291       321.000       322.000       1.00000    
     292       322.000       323.000       1.00000    
     293       323.000       324.000       1.00000    
     294       324.000       325.000       1.00000    
     295       325.000       326.000       1.00000    
     296       326.000       327.000       1.00000    
     297       327.000       328.000       1.00000    
     298       328.000       329.000       1.00000    
     299       329.000       330.000       1.00000    
     300       330.000       331.000       1.00000    
     301       331.000       332.000       1.00000    
     302       332.000       333.000       1.00000    
     303       333.000       334.000       1.00000    
     304       334.000       335.000       1.00000    
     305       335.000       336.000       1.00000    
     306       336.000       337.000       1.00000    
     307       337.000       338.000       1.00000    
     308       338.000       339.000       1.00000    
     309       339.000       340.000       1.00000    
     310       340.000       341.000       1.00000    
     311       341.000       342.000       1.00000    
     312       342.000       343.000       1.00000    
     313       343.000       344.000       1.00000    
     314       344.000       345.000       1.00000    
     315       345.000       346.000       1.00000    
     316       346.000       347.000       1.00000    
     317       347.000       348.000       1.00000    
     318       348.000       349.000       1.00000    
     319       349.000       350.000       1.00000    
     320       350.000       351.000       1.00000    
     321       351.000       352.000       1.00000    
     322       352.000       353.000       1.00000    
     323       353.000       354.000       1.00000    
     324       354.000       355.000       1.00000    
     325       355.000       356.000       1.00000    
     326       356.000       357.000       1.00000    
     327       357.000       358.000       1.00000    
     328       358.000       359.000       1.00000    
     329       359.000       360.000       1.00000    
     330       360.000       361.000       1.00000    
     331       361.000       362.000       1.00000    
     332       362.000       363.000       1.00000    
     333       363.000       364.000       1.00000    
     334       364.000       365.000       1.00000    
     335       365.000       366.000       1.00000    
     336       366.000       367.000       1.00000    
     337       367.000       368.000       1.00000    
     338       368.000       369.000       1.00000    
     339       369.000       370.000       1.00000    
     340       370.000       371.000       1.00000    
     341       371.000       372.000       1.00000    
     342       372.000       373.000       1.00000    
     343       373.000       374.000       1.00000    
     344       374.000       375.000       1.00000    
     345       375.000       376.000       1.00000    
     346       376.000       377.000       1.00000    
     347       377.000       378.000       1.00000    
     348       378.000       379.000       1.00000    
     349       379.000       380.000       1.00000    
     350       380.000       381.000       1.00000    
     351       381.000       382.000       1.00000    
     352       382.000       383.000       1.00000    
     353       383.000       384.000       1.00000    
     354       384.000       385.000       1.00000    
     355       385.000       386.000       1.00000    
     356       386.000       387.000       1.00000    
     357       387.000       388.000       1.00000    
     358       388.000       389.000       1.00000    
     359       389.000       390.000       1.00000    
     360       390.000       391.000       1.00000    
     361       391.000       392.000       1.00000    
     362       392.000       393.000       1.00000    
     363       393.000       394.000       1.00000    
     364       394.000       395.000       1.00000    
     365       395.000       396.000       1.00000    
     366       396.000       397.000       1.00000    
     367       397.000       398.000       1.00000    
     368       398.000       399.000       1.00000    
     369       399.000       400.000       1.00000    
}}
